Name,Candidate,Query,Label
"Bright, Modern Apartment in a Vintage Greystone",We were In Chicago to see Hamilton and sightsee with our teenaged daughter. We loved this location and neighborhood. It felt safe and there were tons of nearby places to eat or get groceries. The condo itself was extremely clean and was well stocked with necessities. It was spacious and we never felt crowded. Rob was a great host and was very responsive to our questions. It was a plus to have  parking available as we never moved our car until we left Chicago. I would definitely rent from Rob again,Chicago,0
"Charming, Spacious 1BR Studio in Belmont Cragin","Chris' place is really lovely! Plenty of space for 2 people, with lots of thoughtful touches like biscuits, bottled water, tea and coffee etc! The kitchen was well equipped to make meals, and Chris quickly provided a can opener when we asked to borrow one. The washer and dryer in the apartment were also very handy. Good location in a residential neighbourhood, about 10-15 min walk to the local Aldi and 10 mins to shops, including the currency exchange to get bus tickets. 5 mins walk from the bus stop that takes you to the blue line, which then takes you to O'hare airport or downtown. It takes around an hour to get to the Museum campus, and about 45 mins to attractions like the Skydeck and Hancock Tower. Chris recommended an architecture boat tour which was fab. Communication was always fast and helpful, would definitely recommend!",Chicago,0
Cozy Coach House,"We had a lovely stay here and would come back in a heartbeat! Scott was so welcoming and responsive, and very thoughtful about making sure that we had everything we needed. The coach house is bright and spacious, tidy, and had plenty of amenities -- from toiletries to an iron to fresh eggs in the fridge. The neighborhood is peaceful, with easy access to public transit and some great cafes and restaurants nearby (try brunch at m. henry!) A perfect launchpad for exploring Chicago, or for taking some time to rest and relax.",Chicago,0
Enjoy Chicago’s Nightlife from Studio Apartment,"Nala's place is a nice, cozy space. It is super close to public transportation, a post office, salons, a boutique, some tasty eateries and murals. It is about a 30 minute ride on the train to the city center, which isn't bad at all. There is a bar below that can play music until 5am and some patrons that hang outside to smoke for a little. If you are a super light sleeper, this is not the place for you. The noise did not bother me one bit and Nala provides white noise machines just in case the noise is a bit bothersome. The bed is super comfortable and the kitchenette is great for heating up some food or making something small. Nala is also helpful and communicates with you in you in advance of your trip so all is well. Overall, I loved the style, location, and convenience of Nala's studio.  Nala is a great host; I would love to stay here again!",Chicago,0
Enjoy Chicago’s Nightlife from Studio Apartment,"Nala's place is absolutely perfect. We felt like one of the locals in this studio apartment, and we both already decided we're keeping this in mind for our next trip!

Some great points:
- Decor is adorable. Especially loved the bamboo shades to block out the street lamps.
- Amenities are spot on. Coffee, shampoo, you name it. 
- Area is great. Close to public transport and found free street parking close by. We also loved having the 7-Eleven right below us!
- Speaking of businesses below, don't worry about the noise from the pub. It was plenty muffled, and if you still find yourself struggling to sleep, there's the white noise machine!",Chicago,0
Entire place with free parking.,"We stayed for 5 days, and had a very enjoyable stay. Jose was very friendly and answered any questions quickly. He gave us restaurant recommendations, which definitely made our stay better! You can hear his family walking in the apartment upstairs, but that is the nature of apartment living, and did not detract at all from the loveliness of the apartment. The driveway to park in was a definite bonus, it helped us save money by driving in instead of flying. It's nearby public transportation, so we left our car in the driveway and avoided having to pay for parking all week. We would definitely stay here again if we find ourselves in Chicago once more.",Chicago,0
Entire place with free parking.,"Staying at Jose’s was magnificent. The apartment is very clean, stylish & perfect for a getaway! Jose accommodated my family in every way possible, from letting us check in early, drove us to our event we were in town for & gave great suggestions of places to visit, eat & easiest ways to get around Chicago. I would definitely recommend his place to family, friends & anyone else looking to visit the city. It’s within perfect distance of downtown and major attraction areas but also far enough away to where it is quiet & relaxing. The neighborhood itself is very family oriented and I loved having his driveway to park in, made life a lot easier! We will definitely be back!",Chicago,0
Entire place with free parking.,We really enjoyed our stay at Jose's. It is very clean and the space itself is very comfortable. We especially loved the bed and duvet which are super comfy and the bathroom is great. It takes about 45 mins to get into downtown but there are transport links close by and Jose is very helpful and offered to give us a few rides to the nearby metro station. There are lots of restaurants and shops in the area and the neighborhood is quiet and peaceful. Some reviewers and Jose himself mentioned that he and his family live above the apartment but we barely heard them to be honest. Excellent value for money!,Chicago,0
Explore Chicago from an Urban Sanctuary with Free Parking,"This place is wonderful!  It may be a studio but you won’t feel like it is.  The decor is definitely done by a professional (or someone with great style).  I’m taking some ideas home with me to spruce up my decor!  The location at first I thought was in a gritty neighborhood but it turned out nice, there’s a grocery store just a block away too which is nice.   Downtown Chicago is about a 45-55 minute Uber ride during the week.  Also the host was great and I love that they texted instead of called!",Chicago,0
Explore Logan Square from Renovated Condo with Free Parking,"Came into Chicago during the worst of the snow storm this year, and Leo & Alex's home was everything we could ask for and more! Lizbeth, who manages the rental responded to all of my texts immediately and was very attentive to our needs. Location/neighborhood is superb as we were within 10-15 mins drive of trendy restaurants and bars.. Home space was very trendy and cozy, which was great for hanging out when the storm was heavy, and beds were probably the most comfortable I've slept on in all of my stays on Airbnb. I would absolutely love to stay here again whenever back in Chicago.

Just note that if the snow is ever really bad during your stay, that it can be a bit difficult to get in/out of the parking area.. Factor in extra time to dig out and defrost your car and driveway, which from a Californian, wasn't as bad it seemed...",Chicago,0
Explore Logan Square from Renovated Condo with Free Parking,"The apartment was lovely and the beds were very comfortable. I was traveling with 3 younger girls (12, 11, and 11) and I loved that the location was near plenty of coffee shops, restaurants, and parks. The area is definitely a mix of lower to mid income residents and students. With plenty of funky, high end, hipster spots. We felt very safe walking the neighborhood. And we had plenty of room in the space to spread out! The biggest plus was the free parking. Leo and Alex were gracious enough to allow us to use the lot a bit early, before check in, and a bit later, after check out. All things were accessible by Uber in 5 minutes or so. ~20 Uber ride to downtown. I would definitely give this spot another visit and recommend it to others.",Chicago,0
Explore Logan Square from Renovated Condo with Free Parking,Our family enjoyed the space. The check-in process was easy. The photos and description are accurate. The house was very clean. It’s very nice that it has a private parking space. The parking is at the back and there is a narrow pathway next to the house where you can walk from  the parking lot to the front door.    This can be a bit inconvenient if you are carrying many luggage. We love the kitchen and dinning area where we cooked breakfast and heated up leftovers. The only thing is the air condition was quite loud. But we don’t get too much noise in the bedrooms.,Chicago,0
Foodie Paradise in Logan Square area - Sunny 1 BDR,"This one bedroom apartment is an Air BnBer’s dream.  We have stayed in Air BnBs around the world and this is among the best.  
Clearly, the home’s owner thought through everything that a guest might need.  We arrived to find coffee and tea waiting, which was perfect after a long day of travel.  
The apartment is clean, spacious, well located and very, very comfortable.  It is the best Ikea styling I have ever seen in real life. In fact, Ikea would do well to stage a photo shoot here.  The furniture, the decoration, the artwork are all simple, yet we felt like we could move right in and live here as a forever home. 
•	The bed is like a cozy nest (loved the pillows).  
•	The kitchen (and the fridge in particular) were sparkling clean.  It was stocked with more than the basics, which was great since we always shop for breakfast food when we arrive in a new city, and found a Trader Joe’s quite nearby.
•	There is a little office with many kinds of connectors for phones and computers
•	The living room couch is really comfortable, and there’s a lap blanket for cuddling up.  
•	The bathroom was outfitted with much more than we needed.  The towels were soft and fluffy and there were plenty of them.
•	The lights and heat are controlled by a Nest system with sensors to turn lights come on and off as you enter and leave a room.  That no doubt helps with the energy use but it takes a little human adjustment  We ended up taping over the bathroom light sensor so it didn’t blast on in the middle of the night when one of us wandered into the bathroom.
•	The building is on a busy main street, which concerned us as we arrived -- I am very sensitive to noise. But once inside, the apartment is completely quiet.  If the weather had been warm enough to open windows, it might have been noisier, but we didn’t test it out.  
•	Street parking is a little competitive and cars have to be moved off the street in the later afternoon when the parking lane becomes a traffic lane.  This was not an issue for us since we were gone pretty much all day long. 
Everything was as it was presented by Natalia, who was a thoughtful and attentive hostess.  We were in town to help our daughter move into an apartment walking distance from the Air BnB.  We hope to stay here again on return visits.",Chicago,0
Great location. Free parking.,"This is a wonderfully convenient, artsy and comfortable place to stay. Spotless, well appointed, really great bed, and amazing art work everywhere! Ewa is immediately responsive and provides a lovely and thorough welcome. As far as location, Wicker park is cool -  we found two awesome restaurants within walking distance and chose to eat nearby.  Getting to and from downtown is easy and  parking is free and easy.  I hope to stay here again next time I go to Chicago, and I highly recommend it for other Airbnb'ers.",Chicago,0
Great location.,"Ewa is a warm and courteous host, and her apartment is a lovely private space in the back of a cool art gallery. The apartment is thoughtfully stocked with all the essentials for a short stay (comfy bed, extra blankets, TV, toiletries, coffee/tea, plates and cutlery), and Ewa was responsive and easy to communicate with. The location is conveniently close to the blue line and a short Uber ride to some of the best parts of the city. We only stayed for one night but would have been happy to stay for longer!",Chicago,0
Great location.,"My friend and I took a lyft to the place and it was easy to find. We were able to check in and out quickly. The place was very clean and spacious with many amenities available to us including a fridge stocked with water and other things like a hair dryer, slippers, and hygiene products which was very thoughtful. We loved that we could control the AC since I get cold very easily and the area was very quiet. Ewa always responded quickly and was very helpful in providing transportation options. We were also able to leave our luggage with her for the day after we checked out which saved us from carrying it around through the city. Great stay overall!",Chicago,0
Great location.,"Ewa’s place in Chicago was perfect! The private parking lot in the back was a major plus and the area was very safe and trendy with lots of shops and restaurants up Milwuakee Ave. Ewa provided many different amenities when we checked in and lots of useful local tips. The room itself was decorated nicely and had VERY high ceilings which I loved. Even though the apartment was on a busy street, no outside noise could be heard from inside the apartment. Overall great experience and would definitely come back again!! Thank you Ewa!",Chicago,0
Great location.,"Ewa and her place are both wonderful! Ewa met us outside when we arrived to show us where to park and gave us a short tour of the rooms. Very comfortable, stylish, clean apartment. Bed is particularly cozy and we loved reclining in the leather chairs. Small snacks (chips, granola bars) were unexpected and very welcome - we were running late for an event when we arrived and weren't sure we'd be able to eat dinner that night. Easy walk to the L and more food. Highly recommend, you'll be happy here.",Chicago,0
Great location.,"Ewa was such a wonderful host! Her home was lovely, so clean and had nice touches. There was coffee and tea as well as a few snacks. Apparently the main heat wasn’t working, but I couldn’t even tell. Ewa had placed a space heater in the bedroom and the fire place in the living room gave off good heat. So it was nice and cozy despite the blizzard that was happening outside. 

Ewa also gave me quite a few suggestions about things in the neighborhood to do, places to eat, and how to get around. This was also at 10pm when I arrived. I appreciated that she took the time to check me in even though it was late. 

I ended up not having to stay both nights I booked. Ewa was kind enough to refund the second night even though I let her know it wasn’t necessary. I would definitely stay here again.",Chicago,0
Joe's Place in West Portage Park,"This was my first time staying with a superhost, and Joe certainly lived up to the designation. We got in late and he was kind, helpful, and communicated promptly and clearly. The beds and linens were super comfortable, very nicely made. We had intended to leave earlier,but slept in till checkout because we were so comfy. Nice shower and spa tub with a skylight. I met Joe in the morning and he was a charming, lovely person..I really appreciated him making us so welcome. The location is good for access to downtown. We drove a few minutes, parked near the station, and caught a train that got us to the heart of the city in 30 minutes. I heartily recommend staying here, only wish we had for more than one night!",Chicago,0
Light Filled Loft Apartment near Downtown Chicago,"Jeremey's apartment is really great. It's large and bright in all the right places (and quieter and darker in the bedroom, which is lovely for sleeping), stylishly decorated (without being overdone--the decor fits the urban space perfectly), has a fantastic shower, everything you need for a comfortable stay and is in one of my favorite Chicago neighborhoods, with a bajiggety restaurants, bars, shops, etc. The provided parking passes are super helpful, especially for weekend stays, because parking in this part of the city is no joke (in fact, if you can manage without a car, do, because you won't need it once you're here--everything is walkable, lyft/uber is plentiful and the El train is literally right there.)

If mobility is an issue for you, you should know that you have to walk up a flight of steep, narrow stairs to get to the apartment. Also, it's really in the real city, and real cities generally aren't that quiet, so if you're a super sensitive sleeper who needs deep, dark silence, you'll maybe want to bring ear plugs and/or a sleep mask. 

But otherwise, I completely recommend this place. Jeremey is a kind, helpful and responsive host, the apartment is so lovely, and it's a really great value for Chicago, too.",Chicago,0
Light Filled Loft Apartment near Downtown Chicago,"Jeremey's apartment far exceeded our expectations.  The pictures don't do justice to how beautiful, stylish and very spacious this place is, not to mention comfortable and clean.  Everything was simply perfect.  Every possible amenity to make you feel right at home--we wanted for nothing.  Comfortable bed and couches, beautiful, roomy bathroom with large shower and plenty of hot water, fully stocked kitchen, excellent wi-fi and incredibly easy check-in process. We loved the location, merely 2 short blocks (roughly 3 min) walk to the Blue line on the L/ subway.  So easy to get to the main attractions downtown, but also in a great spot to explore the Wicker Park/ West Town neighborhoods and all the great restaurants and shops.  An excellent Airbnb experience--Thank you, Jeremey!!",Chicago,0
Light Filled Loft Apartment near Downtown Chicago,"What a great stay in Chicago!!! Jeremey‘s loft is perfectly situated in one of our favourite areas within Chicago. There are so many things to explore in walking distance: restaurants, shopping, parks, and the great 606 trail. The train („L“, blue line) - which is more or less directly in front of the apartment - connects you directly with downtown as well as with the airport. The apartment is so cool, we would love to live there! Despite the busy street in front of the house the apartments inside is so quiet and we slept like babies. Jeremey is a fantastic host and helped us a lot to find our ways, gave us great recommendations and answered immediately whenever we wrote a message. We will definitely come again!!!",Chicago,0
Light Filled Loft Apartment near Downtown Chicago,"We loved this place. It's spacious and very convenient. If you have small children, you may want to know that there is a firehouse nearby, but it did not bother us, we expected city noises. There's a Metro station barely a block away. It's great to have a washer and dryer right in the apartment since we tend to pack very lightly. We greatly appreciated the neighborhood parking stickers Jeremey provided and we easily found parking about 1 block away on a safe, residential street. We'll stay here again next time we're in town.",Chicago,0
"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots","We loved every minute of our stay at Elisa and Jay's loft. It was charmingly decorated, with all amenities of home and more.  Even more lovely and spacious than the photos are able to show. We took full advantage of all the neighborhood had to offer, restaurants, coffee shops, shopping and more using reference material provided by the hosts.  For longer distance trips, the train was so very close and we took full advantage of this perk exploring all the city has to offer. Check in and out was easy it was so thoughtful of the hosts to check in on us during our stay to make sure all was well.  Highly recommend. This is a major value accommodation. Thank you for sharing with us.",Chicago,0
Modern Chicago Loft with a Complimentary Garage Spot,"I really enjoyed my stay at Dasha & Owen's place.  I stayed two nights, while on business.  It was great to be able to prepare a meal and stay in and work one evening, rather than eat out.  There is a full set of spices, olive oil, and balsamic-- everything you need to enjoy a light meal.

A hair dryer, iron, shampoo/ conditioner/ body wash-- all were provided and were great for business travel.  I had an excellent night of sleep, as the bed in this unit is exceptionally comfortable.  I loved the modern finishes, and thought for value this loft is a real gem.  I will stay again in the future, while on business in the Chicagoland area.",Chicago,0
Modern Chicago Loft with a Complimentary Garage Spot,We love this place because it is absolutely gorgeous and stylish. My wife and I just got married and spent a few days in Chicago and we were glad to stay here for our mini-moon. Communication was also great from the start and it was clean. My only hesitation would be that it's pretty far from downtown around 30 minutes away and the bus in front took long but Uber was very easy and not as expensive as we thought it would be. We're planning to go to Chicago again and we will definitely hit up this place again when we do!,Chicago,0
Modern Room in the Heart of Loop,"Anne's place was great!  She let us drop off our bags a few hours early before her already already check-in which was great!  The check-in and check-out process was extremely easy.  The location was pretty good, about a 15-20 minute walk to River North area.  Very close to the Bean and the museums and a quick drive to the main highway to get to the upper areas of the city.  Lyft rides were all about $5-$15 which was great!  Bed was comfortable, pillows were pretty flat but not terrible.  The place was very clean and I felt safe the entire time with a secure lock on our bedroom door.  In comparing the prices when looking at Chicago, this was by far the cheapest and despite it being a ""shared"" airbnb, it felt like a hotel (since we had an Ensuite) just a LOT cheaper!  Also about a 1 minute walk to Gino's which was my favorite of all the deep dish pizza that I tried in Chicago!   Also very conveniently located across the street from a 7/11 that was either open very late or 24/7!   We did not see Anne while we were there, however she was VERY quick to respond to any message I sent her and she was very friendly.  Thanks Anne for a lovely stay!!!",Chicago,0
"Modern, Open, Loft in Chicago's Logan Square","Samantha & Jonathan's loft was exactly as pictured, and located in a convenient location. I loved the apartment - I would love to live here myself! The stairs to the loft was quite steep as others describe, and I left my suitcase downstairs and only went upstairs to sleep. The bed was very comfortable. My friend whom I stayed with wanted an easy access to the bathroom during night, so she decided to use the air mattress downstairs, which we found in the closet (we moved furnitures around to make space). The walk to the California CTA station was 15-20 min for me, but since it was quite a cold week, I often opted for Uber. As we had packed plans in downtown, we did not get to explore much of the neighborhood nor get to ask for neighborhood tips that Samantha was happy to share, but I'd love to come back to this loft and explore more!",Chicago,0
Perfect Location Downtown Apartment Great View,"Now I know why they call you a super host because your place was super cool! Also, thanks for giving us the opportunity to stay at your place while in Chicago. It was a good experience! Love how you had snacks available for us because I really do love snacks so that’s definitely a plus for as well as the other stuff available in the house like toilet paper, soap, shampoo and etc. Although, we had our own supplies it was just convenient knowing that the supplies were there if we needed it. Last, but not least the sky view of the place is absolutely breathtaking. How beautiful to wake up to and go to sleep to the beautiful view. If I’m ever in Chicago, I would most definitely book and recommend others to book at your place.",Chicago,0
Polk Street Coach House Apartment in Little Italy,"Ken's place was clean & comfortable; it was within walking/ train distance of everything that we needed. It was truly cold in Chicago when we were there, and it was wonderful to have plenty of clean towels, sheets, and warm blankets. Parking and checkin were really easy, and Ken was easy to communicate with. We were a little surprised that he popped by to say 'hello' twice before 10 am on New Years Day (and we were rushed to get to our breakfast reservation), but it was good to speak with him. We'd love to stay again sometime.",Chicago,0
Polk Street Coach House Apartment in Little Italy,"My husband and I have stayed at many Airbnb's, and this is by far our favorite! The locations is within minutes of walking from fantastic restaurants. The house of stocked with snacks, drinks, and even ramen! The washer and dryer was super helpful given we stayed for a week.  Ken was very responsive to any questions and inquiries, as well as helpful! The beds are very comfortable and the space was pretty quiet especially given such a central location.  If we are ever again in Chicago, we would love to come back!",Chicago,0
Polk Street Coach House Apartment in Little Italy,"My family and I could not be happier with staying here. Not only was the coach house immaculate, but it was cozy, inviting, and full of thoughtful touches. The space was just right for our group, felt safe and private despite being in the city.  The location was easy to get to and close to everything. Super convenient. We loved the notes that were placed around the space, made everything really easy to locate and use. The entire set up really helped us feel like we were in a home away from home. Not to mention the beds were extremely comfortable! Would definitely love to stay here again if ever in the Chicago area. I can’t say enough great things about this place- top notch!!!!",Chicago,0
Polk Street Coach House Apartment in Little Italy,"We were so incredibly lucky to find this place. This was a girls trip and none of us had ever been to Chicago before. We felt more than safe coming in and out of Ken & Curt’s coach house and felt safe knowing they were close by. We often find ourselves renting from hosts who own multiple properties and we rarely hear from them so I really loved that we were all on the same property as Ken and Curt. The space was clean, organized, and easy to find fully equipped with espresso pods and snacks. We would highly recommend this place and would love to stay again if we ever get the chance. Thank you guys again for having us!",Chicago,0
Polk Street Coach House Apartment in Little Italy,"This is literally the best place we have ever stayed in! There was everything you could possibly need, the place was immaculate and the beds were the most comfortable ones I’ve slept in! Even better than mine at home! 
Ken and Kurt are the perfect hosts and such lovely people we really felt at home with them. 
The area felt safe and very close to walk to little Italy for some lovely food. 
The down side to our stay.... nothing at all! Other than we had to come home. Thank you Ken and Kurt we shall certainly come back to your place when we return!",Chicago,0
Polk Street Coach House Apartment in Little Italy,"We had a great stay from first arriving thru to departing.

Check in is simple and easy to complete.

Arriving the place was lovely and warm, music on, snacks left out, bottled water, tea, coffee and basic supplies on hand which really made it feel like home. It was so exciting to have a nespresso machine and nice tea bags!

The bathroom was well stocked with shampoo, conditioner, soap and other basics.

The apartment was very clean with lovely quality towels that we nice and fluffy.

It had a book of local info which was helpful and was very conveniently location to restaurants and a few shops.

Unfortunately due to delayed luggage we lost some time and didn't get to explore as much as planned. Ken was very friendly and offered if we needed any additional supplies due to the lost luggage.

I would certainly come back and highly recommend to others.",Chicago,0
Relaxing Room in the Heart of the Loop,"Anne's apartment is a terrific value, and I would definitely stay there again (I've already recommended it to my sister, who's planning a trip). It's a lovely, spacious, beautifully decorated space in a great and safe location. Easy walk to the Art Institute, Millennium Park, etc. and a short walk to two ""L"" (subway) lines. My only issues concerned the overall air system. It turned out that the bedroom windows didn't open and since there was no ceiling fan or central fan, it felt airless with the door closed. I'm someone who's used to sleeping with an open window. Once I asked Anne about it the following night, she had helpful suggestions that resolved the problem.",Chicago,0
Relaxing Room in the Heart of the Loop,"Location can’t be beat, right smack dab in Chicago. Lotsa restaurants and bars and little shops around. Quick few blocks walk to the parks- I walked from apt to Millennium Park in 18 mins, and even in January temperatures, it was a lovely walk. The apartment is cozy, I wanted a bit more heat and after texting to ask Anne, she said yes I can adjust the thermostat. The bed is comfy, no weird smells in the building or apartment. I had to put an air diffuser away in bathroom cabinets because it was strong for my sensitive nose but other than that it was perfect. Living room area is lovely and comfy too! The room had a good lock on the door so it really felt secure. Don’t hesitate to book this awesome place!",Chicago,0
SHARED Artist Loft . Very Unique,"From booking to check out, Michael was extremely accommodating and thorough. I love to stay in unique spaces and Michael’s space was perfect. The city centric location, proximity to a variety of bars, restaurants, stores and venues was ideal. Michael was a great host with a lot of knowledge and unique insight to his city and recommendations during our short stay. The room was delightfully comfortable we almost missed walking around the city! :) I would not hesitate staying here again especially to see the outdoor patio all planted. This truly felt like a home away from home.",Chicago,0
SHARED Artist Loft . Very Unique,"This was our first stay at an Airbnb, and we couldn't have been happier.  The location of his apartment is fantastic.  It's easy to get to and close to a lot of great restaurants.  He has a lovely terrace filled with flowers, which was a perfect place to relax.  His apartment is decorated with a lot of unique and fascinating items.   The bed was very comfortable.  Michael was proactive in communicating and very quick to reply to questions.  He also gave us some great recommendations for lesser-known sites to see in the city.",Chicago,0
SHARED Artist Loft . Very Unique,"Michael's loft is simply beautiful, clean and exactly as pictured. It is central and easy to walk to from the train. We found it easy to go around without needing to use the subway. Many tourist spots were just a 15-20 minute walk away and it was also close to the riverwalk. There are many good restaurants and bars near by, easily in a perfect location. Michael is a great and friendly host, I would definitely want to stay here again if I were to come back to Chicago. Thank you so much for sharing your loft with us and it was lovely to meet you!",Chicago,0
Shared Artist Loft Own Private Room,"I had the perfect stay.

Michael is the most welcoming and friendly host. Check-In was super easy. He showed me the flat and gave recommendations when I arrived. The room is comfortable and the flat is located in the middle of Downtown Chicago, which makes is a good base to explore the city. The highlight, though, is the deck with the wonderful flower pots! I spent relaxing mornings and evenings there, had lovely chats with Michael and his other guests, and enjoyed this unique oasis in the middle of buzzing Chicago. 

You can tell Michael enjoys hosting and having people around in his home. If I come back to Chicago, I will happily stay there again :-)",Chicago,0
Shared Artist Loft Own Private Room,"Michael is the kind of host I hope everyone gets to encounter through airbnb. He is perfectly welcoming, doesn't overlook details, and truly made my stay in Chicago special. I loved that I could drop my bags earlier in the day before check-in to go exploring sans-baggage. Same was true for the day of my check-out - Mike kindly allowed me to leave my bags, go for a run, and then come back and shower before catching my flight out of the city. 

As for the space: it is stunning. My bed was extremely comfortable, in-room shower/vanity/toilet was great, plenty of outlets to charge your technology, I was lacking nothing. There was water with a few lemon slices waiting for me on the night stand - again no details were missed. 

Bottom line: Excellent value. Perfectly outfitted space with the charm and character that defines the ideal airbnb experience. If it's available during your stay, book it. ",Chicago,0
